Order ID,Region,Country,City,Sales Representative,Customer Name,Customer Type,Sales Channel,Order Priority,Order Date,Ship Date,Item Category,Sub-Category,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Discount Applied (%),Tax (8%),Payment Method,Order Status,Shipping Carrier,Customer Segment
2000051,Latin America,Colombia,Cartagena,Kimberly Smith,Mark Gonzalez,Corporate,Online,Low,2023-07-10 00:00:00,2023-07-14 00:00:00,Electronics,Smartphones,255,211.05,145.39,53817.75,37074.45,16743.3,15,4305.42,Credit Card,Returned,DHL,Individual
2000052,North America,Canada,Edmonton,Christopher Anderson,Charles Brown,Corporate,Retail,Critical,2023-12-24 00:00:00,2024-01-01 00:00:00,Clothing,Shoes,242,1106.94,662.61,267879.48,160351.62,107527.86,13,21430.36,Credit Card,Cancelled,DHL,SME
2000053,Middle East & Africa,Egypt,Alexandria,Emily Thompson,Andrew Moore,Consumer,Retail,Medium,2022-08-28 00:00:00,2022-09-05 00:00:00,Electronics,Tablets,377,1116.31,779.79,420848.87,293980.83,126868.04,20,33667.91,Wire Transfer,Processing,UPS,Enterprise
2000054,North America,Canada,Quebec City,Barbara Thompson,Barbara Clark,Consumer,Partner,Medium,2023-10-19 00:00:00,2023-10-27 00:00:00,Home Appliances,Fridges,187,1036.78,570.32,193877.86,106649.84,87228.02,18,15510.23,Credit Card,Completed,Local Courier,Enterprise
2000055,Middle East & Africa,Saudi Arabia,Jeddah,Andrew Hernandez,Daniel Wilson,Consumer,Retail,Medium,2023-06-19 00:00:00,2023-06-28 00:00:00,Electronics,Tablets,163,476.84,310.8,77724.92,50660.4,27064.52,19,6217.99,Direct Debit,Returned,UPS,Individual
2000056,Middle East & Africa,Egypt,Giza,Andrew Hernandez,Sandra Williams,Home Office,Offline,High,2023-05-28 00:00:00,2023-06-04 00:00:00,Furniture,Tables,371,1001.88,742.62,371697.48,275512.02,96185.46,18,29735.8,Wire Transfer,Processing,UPS,SME
2000057,North America,Canada,Winnipeg,Barbara Thompson,Andrew Davis,Corporate,Online,Medium,2022-06-17 00:00:00,2022-06-24 00:00:00,Toys,Board Games,121,971.09,586.03,117501.89,70909.63,46592.26,20,9400.15,PayPal,Processing,FedEx,SME
2000058,Europe,UK,Liverpool,Paul Smith,Elizabeth Robinson,Corporate,Online,High,2023-10-27 00:00:00,2023-11-05 00:00:00,Furniture,Chairs,207,947.28,654.27,196086.96,135433.89,60653.07,6,15686.96,Wire Transfer,Processing,Local Courier,Enterprise
2000059,North America,Mexico,Puebla,Barbara Thompson,Christopher Lopez,Home Office,Retail,Critical,2023-10-02 00:00:00,2023-10-04 00:00:00,Toys,Action Figures,109,1161.44,824.09,126596.96,89825.81,36771.15,6,10127.76,Credit Card,Cancelled,FedEx,Enterprise
2000060,Europe,Italy,Naples,Karen Ramirez,Karen Moore,Consumer,Partner,Low,2023-05-14 00:00:00,2023-05-24 00:00:00,Office Supplies,Binders,261,641.06,326.91,167316.66,85323.51,81993.15,1,13385.33,Credit Card,Cancelled,UPS,SME
2000061,North America,USA,Phoenix,Matthew Garcia,Donald Clark,Home Office,Retail,Medium,2023-04-20 00:00:00,2023-04-23 00:00:00,Home Appliances,Microwaves,22,865.91,540.49,19050.02,11890.78,7159.24,14,1524.0,Direct Debit,Completed,Local Courier,Individual
2000062,Latin America,Colombia,Cúcuta,Linda Martin,Mary Thompson,Corporate,Online,Low,2023-01-22 00:00:00,2023-01-24 00:00:00,Electronics,Smartphones,301,1156.02,729.62,347962.02,219615.62,128346.4,4,27836.96,Credit Card,Processing,Local Courier,Enterprise
2000063,North America,Mexico,Toluca,Christopher Anderson,David Rodriguez,Home Office,Retail,Critical,2022-05-17 00:00:00,2022-05-22 00:00:00,Furniture,Chairs,132,64.61,47.57,8528.52,6279.24,2249.28,14,682.28,Wire Transfer,Cancelled,FedEx,Enterprise
2000064,Europe,Germany,Stuttgart,Paul Smith,James Johnson,Corporate,Retail,Medium,2023-02-12 00:00:00,2023-02-20 00:00:00,Furniture,Chairs,355,785.98,410.34,279022.9,145670.7,133352.2,4,22321.83,Direct Debit,Cancelled,DHL,Individual
2000065,North America,Mexico,Tijuana,Robert Thompson,Daniel Ramirez,Consumer,Online,Critical,2022-12-18 00:00:00,2022-12-19 00:00:00,Clothing,Jeans,319,896.44,565.3,285964.36,180330.7,105633.66,11,22877.15,PayPal,Processing,UPS,Individual
2000066,Latin America,Chile,La Serena,Elizabeth Johnson,Sarah Lee,Corporate,Partner,Critical,2022-09-16 00:00:00,2022-09-24 00:00:00,Furniture,Beds,308,329.08,184.86,101356.64,56936.88,44419.76,2,8108.53,PayPal,Processing,FedEx,Individual
2000067,Asia-Pacific,China,Shenzhen,Karen Jones,Mark Anderson,Home Office,Offline,Critical,2022-08-23 00:00:00,2022-08-31 00:00:00,Clothing,Shoes,358,389.6,202.77,139476.8,72591.66,66885.14,4,11158.14,Wire Transfer,Processing,FedEx,Individual
2000068,Europe,Germany,Düsseldorf,Karen Ramirez,Michelle Wilson,Consumer,Offline,Critical,2023-07-10 00:00:00,2023-07-13 00:00:00,Home Appliances,Blenders,208,738.25,534.66,153556.0,111209.28,42346.72,0,12284.48,Wire Transfer,Completed,Local Courier,SME
2000069,North America,Canada,Hamilton,Emily Thompson,Donald Moore,Consumer,Retail,High,2022-09-21 00:00:00,2022-09-29 00:00:00,Home Appliances,Microwaves,73,828.98,569.57,60515.54,41578.61,18936.93,6,4841.24,Wire Transfer,Processing,FedEx,Enterprise
2000070,Asia-Pacific,Australia,Brisbane,Nancy Gonzalez,Thomas Jones,Consumer,Retail,Low,2022-07-10 00:00:00,2022-07-20 00:00:00,Home Appliances,Fridges,370,1184.12,811.0,438124.4,300070.0,138054.4,16,35049.95,Wire Transfer,Returned,FedEx,Individual
2000071,Asia-Pacific,South Korea,Busan,Karen Jones,Barbara Martinez,Home Office,Offline,Low,2023-06-27 00:00:00,2023-07-06 00:00:00,Office Supplies,Pens,38,1013.07,735.24,38496.66,27939.12,10557.54,12,3079.73,Wire Transfer,Completed,DHL,Individual
2000072,Middle East & Africa,South Africa,Durban,Andrew Hernandez,Matthew Gonzalez,Corporate,Online,Critical,2022-01-06 00:00:00,2022-01-08 00:00:00,Toys,Board Games,362,831.21,582.92,300898.02,211017.04,89880.98,1,24071.84,PayPal,Returned,Local Courier,Enterprise
2000073,North America,USA,Philadelphia,Matthew Garcia,Joseph Anderson,Corporate,Offline,Medium,2023-11-10 00:00:00,2023-11-14 00:00:00,Toys,Puzzles,183,1056.01,588.03,193249.83,107609.49,85640.34,9,15459.99,PayPal,Returned,FedEx,SME
2000074,Latin America,Chile,Antofagasta,Anthony Thompson,Joshua Jackson,Corporate,Partner,Low,2023-05-21 00:00:00,2023-05-24 00:00:00,Office Supplies,Binders,185,798.98,558.45,147811.3,103313.25,44498.05,19,11824.9,PayPal,Cancelled,UPS,Individual
2000075,Latin America,Argentina,Rosario,Anthony Thompson,Donald Wilson,Consumer,Offline,Low,2022-02-18 00:00:00,2022-02-20 00:00:00,Clothing,Jeans,3,975.0,692.61,2925.0,2077.83,847.17,6,234.0,Wire Transfer,Processing,UPS,SME
2000076,Europe,France,Nice,James Clark,Andrew Williams,Corporate,Partner,Low,2022-04-09 00:00:00,2022-04-10 00:00:00,Electronics,Smartphones,139,622.88,372.16,86580.32,51730.24,34850.08,8,6926.43,Direct Debit,Processing,UPS,SME
2000077,Asia-Pacific,Japan,Tokyo,Joseph Jones,Matthew Wilson,Home Office,Offline,High,2023-04-15 00:00:00,2023-04-20 00:00:00,Electronics,Smartphones,5,144.14,101.42,720.7,507.1,213.6,14,57.66,Wire Transfer,Returned,Local Courier,Enterprise
2000078,Latin America,Argentina,Mendoza,Anthony Thompson,Daniel Lopez,Corporate,Online,Low,2022-12-03 00:00:00,2022-12-13 00:00:00,Home Appliances,Washers,264,286.25,199.5,75570.0,52668.0,22902.0,12,6045.6,PayPal,Cancelled,FedEx,Individual
2000079,North America,USA,San Antonio,Emily Thompson,Linda Wilson,Consumer,Retail,Critical,2022-09-16 00:00:00,2022-09-21 00:00:00,Home Appliances,Washers,63,180.66,134.74,11381.58,8488.62,2892.96,14,910.53,PayPal,Processing,Local Courier,Enterprise
2000080,Europe,UK,Leeds,Donald Ramirez,Jennifer Miller,Corporate,Offline,Low,2022-11-11 00:00:00,2022-11-13 00:00:00,Toys,Dolls,83,163.42,85.97,13563.86,7135.51,6428.35,11,1085.11,Direct Debit,Returned,FedEx,Enterprise
2000081,Asia-Pacific,Japan,Yokohama,Paul Lopez,Richard Martin,Corporate,Partner,Critical,2022-10-13 00:00:00,2022-10-23 00:00:00,Home Appliances,Microwaves,119,1175.53,800.8,139888.07,95295.2,44592.87,1,11191.05,PayPal,Cancelled,FedEx,SME
2000082,Europe,Italy,Turin,Paul Smith,Mary Jackson,Home Office,Partner,Critical,2023-12-14 00:00:00,2023-12-17 00:00:00,Electronics,Tablets,203,67.32,33.87,13665.96,6875.61,6790.35,5,1093.28,Direct Debit,Processing,Local Courier,Individual
2000083,Latin America,Colombia,Bucaramanga,Linda Martin,Karen Moore,Corporate,Online,High,2023-09-08 00:00:00,2023-09-15 00:00:00,Electronics,Tablets,335,322.98,214.8,108198.3,71958.0,36240.3,11,8655.86,Direct Debit,Processing,FedEx,SME
2000084,Middle East & Africa,UAE,Abu Dhabi,Jennifer Perez,Donald Williams,Consumer,Offline,High,2023-07-04 00:00:00,2023-07-12 00:00:00,Home Appliances,Fridges,275,745.98,477.94,205144.5,131433.5,73711.0,7,16411.56,Credit Card,Processing,Local Courier,SME
2000085,Europe,France,Nantes,Karen Ramirez,Barbara Brown,Home Office,Partner,Low,2022-07-28 00:00:00,2022-08-04 00:00:00,Home Appliances,Washers,132,652.35,326.83,86110.2,43141.56,42968.64,14,6888.82,Direct Debit,Completed,DHL,SME
2000086,Europe,UK,Sheffield,Karen Ramirez,James Moore,Home Office,Partner,High,2022-10-18 00:00:00,2022-10-20 00:00:00,Furniture,Beds,116,618.33,381.98,71726.28,44309.68,27416.6,14,5738.1,Direct Debit,Completed,FedEx,Enterprise
2000087,Latin America,Argentina,La Plata,Linda Martin,David Thompson,Home Office,Online,Critical,2023-07-02 00:00:00,2023-07-09 00:00:00,Toys,Board Games,222,801.39,426.26,177908.58,94629.72,83278.86,1,14232.69,Wire Transfer,Completed,UPS,Individual
2000088,North America,Canada,Kitchener,Barbara Thompson,William Martinez,Consumer,Online,Medium,2023-07-14 00:00:00,2023-07-17 00:00:00,Clothing,Jackets,75,382.84,245.29,28713.0,18396.75,10316.25,12,2297.04,Direct Debit,Completed,FedEx,SME
2000089,Latin America,Colombia,Pereira,James Robinson,David Lee,Corporate,Retail,High,2022-03-22 00:00:00,2022-03-24 00:00:00,Furniture,Chairs,347,1124.55,734.28,390218.85,254795.16,135423.69,17,31217.51,PayPal,Completed,DHL,SME
2000090,Asia-Pacific,South Korea,Incheon,Karen Jones,Robert Gonzalez,Corporate,Retail,Critical,2023-09-03 00:00:00,2023-09-05 00:00:00,Toys,Puzzles,307,827.5,561.92,254042.5,172509.44,81533.06,11,20323.4,Credit Card,Cancelled,Local Courier,Individual
2000091,Europe,Spain,Barcelona,Donald Ramirez,Patricia Davis,Home Office,Retail,Critical,2023-02-05 00:00:00,2023-02-12 00:00:00,Home Appliances,Washers,163,981.51,680.88,159986.13,110983.44,49002.69,5,12798.89,Direct Debit,Processing,UPS,Enterprise
2000092,Middle East & Africa,Saudi Arabia,Mecca,Charles Johnson,Richard Lewis,Home Office,Online,Low,2022-06-04 00:00:00,2022-06-08 00:00:00,Home Appliances,Washers,164,367.29,238.65,60235.56,39138.6,21096.96,6,4818.84,Direct Debit,Returned,UPS,Individual
2000093,Latin America,Argentina,San Miguel de Tucumán,Kimberly Smith,Mary Brown,Corporate,Online,Medium,2022-06-01 00:00:00,2022-06-07 00:00:00,Home Appliances,Washers,12,886.07,516.87,10632.84,6202.44,4430.4,19,850.63,PayPal,Processing,UPS,SME
2000094,Asia-Pacific,Japan,Osaka,Karen Jones,Steven Martin,Consumer,Online,Low,2023-07-06 00:00:00,2023-07-11 00:00:00,Home Appliances,Washers,90,832.59,551.58,74933.1,49642.2,25290.9,5,5994.65,Direct Debit,Completed,UPS,Individual
2000095,North America,USA,San Diego,Matthew Garcia,Susan White,Consumer,Online,High,2022-04-11 00:00:00,2022-04-17 00:00:00,Office Supplies,Pens,310,219.76,134.0,68125.6,41540.0,26585.6,8,5450.05,Direct Debit,Processing,UPS,SME
2000096,North America,Canada,Toronto,Matthew Garcia,Carol Taylor,Corporate,Offline,Critical,2022-02-07 00:00:00,2022-02-15 00:00:00,Toys,Action Figures,30,799.87,490.19,23996.1,14705.7,9290.4,13,1919.69,Direct Debit,Completed,UPS,Enterprise
2000097,Europe,UK,Edinburgh,Karen Ramirez,Kimberly Moore,Consumer,Retail,Medium,2023-10-27 00:00:00,2023-10-28 00:00:00,Clothing,Shirts,143,746.31,397.58,106722.33,56853.94,49868.39,11,8537.79,Wire Transfer,Processing,UPS,Enterprise
2000098,North America,Canada,Vancouver,Barbara Thompson,Elizabeth Clark,Consumer,Offline,High,2023-09-04 00:00:00,2023-09-06 00:00:00,Home Appliances,Microwaves,56,95.37,58.16,5340.72,3256.96,2083.76,0,427.26,Credit Card,Processing,FedEx,Individual
2000099,North America,Canada,Montreal,Matthew Garcia,Carol Brown,Home Office,Online,Medium,2023-05-13 00:00:00,2023-05-21 00:00:00,Electronics,Tablets,339,470.58,246.24,159526.62,83475.36,76051.26,17,12762.13,Credit Card,Completed,Local Courier,SME
